,subject,comm_pool,delegation,euler-4,lifetime,takeoff,sum
104,cyber1csf3up94qheqz88fvvlwjl7vc5sdymarjnshkn,,,,,18442151620.0,18442151620.0
105,cyber1kfqv2fzzu6dgwnf6snql2jslwdws07flws32fp,,,17879700159.0,,,17879700159.0
106,cyber1ggayl03vvv763az6eez66jzwuunyqkcu5w5je0,,,17754934798.0,,,17754934798.0
107,cyber1fjeq0urgk4x0s6pl2p2fes8c95426amp68lw63,,,17601345097.0,,,17601345097.0
108,cyber1tr3eyy9l480pxjk0ygudwpfus7j8pgdlktu79x,,,,,17537519175.0,17537519175.0
109,cyber16ahkkv0jzhtp73z83qlhqrypss6jpjm8ap96e3,,,,,17375703563.0,17375703563.0
110,cyber1jgh7ghrcr47tuahawzvg3svv2hxkxfx5cave5h,,,17333444802.0,,,17333444802.0
111,cyber1htq7u8gy9muv4fk6st04524tdzy8rv04sj5nnd,,,,,16744189104.0,16744189104.0
112,cyber1kk9clwd4eva7ww95gn4rw3xzuwfs0983588rek,,,,,16191669541.0,16191669541.0
113,cyber16yf94eecl6h44l5w7zp75skh3rg0k4vee549dh,15000000000.0,,,,,15000000000.0
114,cyber1mnfalar08dsvtwutmh43lnhx2zzmq7xhfyvzv0,,6402703804.0,,8540100989.0,,14942804793.0
115,cyber1k7cl9ya9qq30c7m4rvg3823hrc8k80ee0clv96,,,,,14797976623.0,14797976623.0
116,cyber16d69u47km5vqdvf6fr8qyhktlacgka7ff5we56,,,,,14751375909.0,14751375909.0
117,cyber19y467lyhqlpa52y6snq9cxw47xhwq0th4eu05j,,,14256149914.0,,,14256149914.0
118,cyber16ge9uqpqf78jdt0uz58ycalhtg59w77qlac96h,,,14222312706.0,,,14222312706.0
119,cyber1lljcf37yxh24l3v4kwqsyghwz4ywlg6u8sxduy,,,11645695552.0,1970857840.0,,13616553392.0
120,cyber1463la66ac89tmlwgvx20c4d2jv84ekzsrw3vsr,,,13368713572.0,,,13368713572.0
121,cyber164k2s2s2td6a30d3rvnv93scy3v29psw32zg6x,,,12701785716.0,,,12701785716.0
122,cyber16h7tyj5p69t3r7qasunf938cx2elp38fnct947,,2062295417.0,,10620434968.0,,12682730385.0
123,cyber1cjyv02cja896rr5y5lks79enk2nretn3lchrdc,,2147705260.0,1417622893.0,8731817017.0,,12297145170.0
124,cyber1rya5547x4lrwc2npd63s89ny2dvhamv9f3473c,,,12090950492.0,,,12090950492.0
125,cyber18wn5kyxewwk6qh97493xtj9gufpmqserd9yrxr,,,12063356572.0,,,12063356572.0
126,cyber1kf0d64nuwsf2zeul5wkx78fsznplnlpsd0djhn,,,,,11673069511.0,11673069511.0
127,cyber1zeg2k7kd8qadmwd3kslwmag3erq7hqxts9wf9l,,5135290206.0,,6162279773.0,,11297569979.0
128,cyber1d7n8znqg635yxnzlsycnt6kut8z5du5ydn0s55,,,10958899451.0,,,10958899451.0
129,cyber1wt9h9wm3zf7yzsy68x7v8p973w02kw8yqysvrf,,2760107758.0,,7777346692.0,,10537454450.0
130,cyber1402rpwdquxxkgvl740f6w69l65eau5vkyqlc2m,,7159491819.0,,3246938813.0,,10406430632.0
131,cyber16pdckvu70ufzvm8avd9anga6k35nu7axqru3eu,,,9792986284.0,,,9792986284.0
132,cyber1ucl2c39dpwqm9pp6cvmlazn2tkwavszh5jdfj8,,2575695017.0,,7109962804.0,,9685657821.0
133,cyber18ghjkwygsvjcsh20tc5zzhfttxxuex7ap8nukd,,,,,9561458741.0,9561458741.0
134,cyber18txzlmkqf264a2awhey6lmeq0dtv5ex6p4ej0e,,,9333557553.0,,,9333557553.0
135,cyber1s2a7rckcky6jmhncxwy0xtwf2ymg87pujzp64l,,,,,9246030793.0,9246030793.0
136,cyber1mnqlcc7mslzxcf798acp80u2fxudsuzdhhjadd,,5378290695.0,,3666902099.0,,9045192794.0
137,cyber1pswgrf5ap0kld3lpun5z4x08wh7nmgamflgnwm,,3282151788.0,,5358993270.0,,8641145058.0
138,cyber1nvr4qa7szsd3e7xfysn946gcqv5wyemlu7gakn,,5133236390.0,,3297924061.0,,8431160451.0
139,cyber1ke6pp2kq2wx74tlh5fxqgp7af6jtsna3jwc8q8,,4104967246.0,,3851891784.0,,7956859030.0
140,cyber1nywu6z26tpcrr2kcqe8z7t235wrfkhfcd0vevt,,4106198982.0,,3137937218.0,,7244136200.0
141,cyber1mmtt0cnsgwx3t90vs4tn9k08kw8xn4v39smjtr,,,6701991111.0,,,6701991111.0
142,cyber1mryr27k3h8kqr5ahj82v0ym2xexdewfcpmggl6,,,6310270182.0,,,6310270182.0
143,cyber1fpl40sref5vp8kfm7xkqlq5qc0v4xrjvjlkdeq,,53188072.0,,6083030821.0,,6136218893.0
144,cyber1a4mzr2y2g0cc9f0uhyeh3ftmsfxzqwxffcckf9,6001189000.0,,,,,6001189000.0
145,cyber1gg73t0eyrkqf953waqxh6uqah62p46jyvle8g7,,,5787292447.0,,,5787292447.0
146,cyber19vgwu99fdawejnedgsfx8dmxuc0z4emjdxw5zg,,,,5014404214.0,,5014404214.0
147,cyber1gxyf6tsjamnavmkfk43mwfzwscn4tgfkxl9urw,5000000000.0,,,,,5000000000.0
148,cyber1s6v5ragv9gg3sq7j3aeqtyy82uaxv3y0s03vq6,,,,4273801138.0,,4273801138.0
149,cyber1679yrs8dmska7wcsawgy2m25kwucm3z0nks9ze,,,,,4225275377.0,4225275377.0
150,cyber1jx0az02ccnt4mgj2r9vhvycsdjsztrrgfwae5v,,,4220671315.0,,,4220671315.0
151,cyber1pjvkddp4fmx8ym5j7s7su8kn3zuqj255f2369q,4000000000.0,,,,,4000000000.0
152,cyber1mlqakhlxplhlezk80lph99wcy377j9dkwc42l4,4000000000.0,,,,,4000000000.0
153,cyber1nuc82t22xgp09rs2tdnlxxgm95pjg5ma02a4ny,,5497646.0,,3567926892.0,,3573424538.0
154,cyber1r90j4656xsug2hkj57a3knqcs9huh3earlhdqu,,,3475567070.0,,,3475567070.0
155,cyber1zl0t5703q42qx7drxsgl9thjwlul5x6uh2y4lw,,,2742969308.0,,,2742969308.0
156,cyber15gk8edxtvvp372flljk884fav55y8ehw8yx8sn,,,,,2279889403.0,2279889403.0
157,cyber1jz57cgfr248y9w6sn76l7pugjkr6e7zh7uen5u,1160000.0,,,,2178739020.0,2179899020.0
158,cyber13q0m4hw6pmajqdqn4g464vzmst78sf55jns6cf,,,2064986311.0,,,2064986311.0
159,cyber1ssu4wqtzvvmwcukcv7l8zxny647mdx03ahc0f0,2001189000.0,,,,,2001189000.0
160,cyber12reh000lje8y20wshqmgl8tg70qggt2auxnezf,2000000000.0,,,,,2000000000.0
161,cyber1hmrxmc27fu4ggdpvpxqtahn6uvtj38vucxdxch,,10268322.0,,1844228437.0,,1854496759.0
162,cyber1gw5kdey7fs9wdh05w66s0h4s24tjdvtcp5fhky,,,,,1755881840.0,1755881840.0
163,cyber1kajt7sxfpnfujm7ptj90654lmwz4sftpuag6jq,,,,,1743792737.0,1743792737.0
164,cyber1y6huw3naar38u4rtgqmlh9smfu93gszs0acxeu,,,,1688512495.0,,1688512495.0
165,cyber15kdrahda8qcyfa9xe8kt2f737m22x2slagvfrz,,3552879.0,,1628053769.0,,1631606648.0
166,cyber1uwfk6h06w8vnhmyp48vwcpgwncsec8yv46uan4,,8204799.0,,1494510816.0,,1502715615.0
167,cyber16qu2ymnzzjn05xc6yszjy50caaahcahdgr2ary,,,1362390306.0,,,1362390306.0
168,cyber1hqeqy4s039q0qcpayqcyaq5hyyvmph970xkqjw,,,,1190379955.0,,1190379955.0
169,cyber1t575qeee3qgshuf964qal057z77vljqedacy0t,,,,,1099995800.0,1099995800.0
170,cyber105zy26ze9gean4qukqlvhkv4mtcndc9tw7wl6l,,,,,1006206924.0,1006206924.0
171,cyber14h099ukgvp4fm9qs0xnmljzhevrmneq6lztyu3,,,,978084362.0,,978084362.0
172,cyber1xhk0s2ynz2sq3ak3lr4u5gg0da4vyaxkd2ynfz,,,,924447759.0,,924447759.0
173,cyber1g2d9xyuf7ddgaj4llxvg50pfhlsr9ehfwm5k58,,154956147.0,,716488373.0,,871444520.0
