,subject,comm_pool,delegation,euler-4,lifetime,load,relevance,takeoff,port,sum
204,cyber16s7gwc944patdynnfnvac0jh5u76wsnfmnh2fr,,,77674844.0,,,,,,77674844.0
205,cyber137eezcxcyqgt6kshfdfuvnsdgwpujyjew85m6l,,,,,,,73708712.0,,73708712.0
206,cyber19wtkh935tx2ut2n4m6tjvkfvew4shaeex3v9wx,,,,,,59855356.0,,,59855356.0
207,cyber190y8vwhmyjdnk7cfutcm7u8haw80xyejfk4thz,,,,,56952126.0,,,,56952126.0
208,cyber1rfh303jsl5297sxgs5txpt97lvxpjt4hafhlr7,,,,,54988260.0,,,,54988260.0
209,cyber1a2kn43nquua6gmr4n42htmjpceqj7fzu5023s2,,,,,,52853070.0,,,52853070.0
210,cyber1uz39kh64w8p5df034fh6g5hwpdq8m0h5878uqy,,,,,,,49997750.0,,49997750.0
211,cyber1u74s0z4ft63c6zz7g8xs62esdtdjkzuk36655k,,,,,,42282456.0,,,42282456.0
212,cyber1n89a8avc4j7cv75lfsyynx5kazlk80arsctk38,,102666.0,,40897910.0,,,,,41000576.0
213,cyber12u6qgyrdsy4xmw04vfkkkh9a9tqzw66gsay86k,,,,,27886903.0,,,,27886903.0
214,cyber1pjvkddp4fmx8ym5j7s7su8kn3zuqj255f2369q,,,,,22780851.0,,,,22780851.0
215,cyber13nrdf490fsuv4rwjp02hlyvalqjkn5u6z7nhhl,,,,,14925385.0,,,,14925385.0
216,cyber1fp9q2t9zn9gr5qjh9wljxuavtcsc4h8uysqqay,,,,,12175972.0,,,,12175972.0
217,cyber158mysantvvk7x65tfhhuu8q2va4ls34rsdydf6,,,,,9819332.0,,,,9819332.0
218,cyber1clalfxmsrqdgnqq5uxlx0mc983pyp3wq37v5x9,,,,,4713279.0,,,,4713279.0
